TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-11 02:39:00,3324.8,3325.96,3324.8,3325.8,93,5,0
2025-06-11 02:40:00,3325.79,3325.94,3325.37,3325.69,72,5,0
2025-06-11 02:41:00,3325.71,3325.72,3324.82,3325.12,98,5,0
2025-06-11 02:42:00,3325.02,3326.35,3325.02,3326.32,58,5,0
2025-06-11 02:43:00,3326.37,3326.38,3325.5,3325.71,57,5,0
2025-06-11 02:44:00,3325.71,3325.71,3325.03,3325.49,57,5,0
2025-06-11 02:45:00,3325.49,3326.0,3325.45,3325.46,45,5,0
2025-06-11 02:46:00,3325.46,3325.53,3324.45,3324.66,80,5,0
2025-06-11 02:47:00,3324.66,3325.45,3324.52,3325.14,72,5,0
2025-06-11 02:48:00,3325.15,3326.39,3324.91,3326.37,94,8,0
2025-06-11 02:49:00,3326.37,3326.37,3325.71,3326.17,51,8,0
2025-06-11 02:50:00,3326.17,3327.14,3326.03,3327.09,100,7,0
2025-06-11 02:51:00,3327.09,3327.57,3326.74,3327.12,86,6,0
2025-06-11 02:52:00,3327.12,3327.5,3326.75,3327.13,103,6,0
2025-06-11 02:53:00,3327.13,3327.96,3327.02,3327.39,109,10,0
2025-06-11 02:54:00,3327.4,3327.97,3326.12,3326.3,128,10,0
2025-06-11 02:55:00,3326.3,3326.32,3325.76,3326.07,80,11,0
2025-06-11 02:56:00,3326.07,3327.2,3326.07,3327.2,108,9,0
2025-06-11 02:57:00,3327.18,3327.5,3326.99,3327.44,118,5,0
2025-06-11 02:58:00,3327.44,3328.08,3327.43,3327.86,54,5,0
2025-06-11 02:59:00,3327.86,3328.17,3327.49,3328.01,86,5,0
2025-06-11 03:00:00,3328.01,3328.14,3327.57,3327.91,107,5,0
2025-06-11 03:01:00,3327.9,3327.91,3326.57,3326.63,125,7,0
2025-06-11 03:02:00,3326.63,3327.14,3326.35,3327.01,104,5,0
2025-06-11 03:03:00,3327.02,3327.4,3326.2,3326.2,99,9,0
2025-06-11 03:04:00,3326.2,3326.21,3325.1,3325.39,90,10,0
2025-06-11 03:05:00,3325.39,3327.84,3325.39,3327.71,125,9,0
2025-06-11 03:06:00,3327.71,3328.89,3327.58,3328.4,121,9,0
2025-06-11 03:07:00,3328.4,3328.83,3327.71,3327.82,96,8,0
2025-06-11 03:08:00,3327.82,3328.03,3326.61,3326.84,88,5,0
2025-06-11 03:09:00,3326.84,3328.06,3326.28,3327.92,98,10,0
2025-06-11 03:10:00,3327.91,3330.05,3327.86,3330.03,148,9,0
2025-06-11 03:11:00,3330.03,3330.32,3329.18,3329.27,105,6,0
2025-06-11 03:12:00,3329.26,3330.07,3329.26,3329.6,95,6,0
2025-06-11 03:13:00,3329.6,3329.99,3328.55,3329.16,130,12,0
2025-06-11 03:14:00,3329.16,3329.59,3328.41,3328.48,103,12,0
2025-06-11 03:15:00,3328.48,3329.15,3328.37,3328.58,80,9,0
2025-06-11 03:16:00,3328.47,3331.68,3328.37,3331.28,161,7,0
2025-06-11 03:17:00,3331.28,3331.53,3330.84,3331.38,121,11,0
2025-06-11 03:18:00,3331.38,3331.65,3330.69,3331.05,113,10,0
2025-06-11 03:19:00,3331.05,3331.82,3330.33,3331.51,109,8,0
2025-06-11 03:20:00,3331.51,3332.92,3331.47,3332.73,132,8,0
2025-06-11 03:21:00,3332.73,3333.24,3332.13,3332.77,108,5,0
2025-06-11 03:22:00,3332.77,3333.05,3331.91,3332.69,119,5,0
2025-06-11 03:23:00,3332.71,3333.88,3332.55,3332.82,100,5,0
2025-06-11 03:24:00,3332.75,3333.14,3331.18,3331.51,123,5,0
2025-06-11 03:25:00,3331.55,3331.62,3330.7,3330.83,93,5,0
2025-06-11 03:26:00,3330.83,3331.74,3330.2,3331.15,84,5,0
2025-06-11 03:27:00,3331.15,3331.29,3330.46,3330.54,89,5,0
2025-06-11 03:28:00,3330.55,3331.69,3330.55,3331.44,81,5,0
2025-06-11 03:29:00,3331.53,3331.75,3330.58,3330.91,57,5,0
2025-06-11 03:30:00,3330.99,3332.15,3330.82,3331.66,92,8,0
2025-06-11 03:31:00,3331.66,3332.78,3331.62,3332.52,122,5,0
2025-06-11 03:32:00,3332.52,3332.66,3331.38,3331.53,107,5,0
2025-06-11 03:33:00,3331.53,3332.35,3331.53,3332.14,77,5,0
2025-06-11 03:34:00,3332.14,3332.42,3331.73,3332.14,70,5,0
2025-06-11 03:35:00,3332.14,3333.07,3331.78,3332.03,85,5,0
2025-06-11 03:36:00,3332.03,3332.21,3331.25,3331.25,72,5,0
2025-06-11 03:37:00,3331.25,3331.37,3330.44,3330.78,84,5,0
2025-06-11 03:38:00,3330.78,3332.65,3330.78,3332.57,112,5,0
2025-06-11 03:39:00,3332.58,3334.3,3332.58,3333.96,147,12,0
2025-06-11 03:40:00,3333.96,3335.03,3333.6,3335.03,158,12,0
2025-06-11 03:41:00,3335.04,3335.22,3333.53,3333.82,146,12,0
2025-06-11 03:42:00,3333.82,3333.86,3332.61,3333.01,137,9,0
2025-06-11 03:43:00,3332.98,3333.54,3332.42,3333.35,118,8,0
2025-06-11 03:44:00,3333.35,3333.49,3332.86,3333.37,92,5,0
2025-06-11 03:45:00,3333.39,3333.93,3332.68,3332.68,84,5,0
2025-06-11 03:46:00,3332.76,3333.46,3332.63,3333.32,102,5,0
2025-06-11 03:47:00,3333.32,3334.35,3333.32,3334.08,69,5,0
